name,winner,primarytitle
John Wayne,True,True Grit
Genevieve Bujold,False,Anne of the Thousand Days
Jane Fonda,False,"They Shoot Horses, Don't They?"
Liza Minnelli,False,The Sterile Cuckoo
Jean Simmons,False,The Happy Ending
Maggie Smith,True,The Prime of Miss Jean Brodie
Melvyn Douglas,False,I Never Sang for My Father
James Earl Jones,False,The Great White Hope
Jack Nicholson,False,Five Easy Pieces
Ryan O'Neal,False,Love Story
George C. Scott,True,Patton
Jane Alexander,False,The Great White Hope
Glenda Jackson,True,Women in Love
Ali MacGraw,False,Love Story
Sarah Miles,False,Ryan's Daughter
Carrie Snodgress,False,Diary of a Mad Housewife
Peter Finch,False,Sunday Bloody Sunday
Gene Hackman,True,The French Connection
Walter Matthau,False,Kotch
George C. Scott,False,The Hospital
Topol,False,Fiddler on the Roof
Julie Christie,False,McCabe & Mrs. Miller
Jane Fonda,True,Klute
Glenda Jackson,False,Sunday Bloody Sunday
Vanessa Redgrave,False,"Mary, Queen of Scots"
Janet Suzman,False,Nicholas and Alexandra
Marlon Brando,True,The Godfather
Michael Caine,False,Sleuth
Laurence Olivier,False,Sleuth
Peter O'Toole,False,The Ruling Class
Paul Winfield,False,Sounder
Liza Minnelli,True,Cabaret
Diana Ross,False,Lady Sings the Blues
Maggie Smith,False,Travels with My Aunt
Cicely Tyson,False,Sounder
Liv Ullmann,False,The Emigrants
Marlon Brando,False,Last Tango in Paris
Jack Lemmon,True,Save the Tiger
Jack Nicholson,False,The Last Detail
Al Pacino,False,Serpico
Robert Redford,False,The Sting
Ellen Burstyn,False,The Exorcist
Glenda Jackson,True,A Touch of Class
Marsha Mason,False,Cinderella Liberty
Barbra Streisand,False,The Way We Were
Joanne Woodward,False,"Summer Wishes, Winter Dreams"
Art Carney,True,Harry and Tonto
Albert Finney,False,Murder on the Orient Express
Dustin Hoffman,False,Lenny
Jack Nicholson,False,Chinatown
Al Pacino,False,The Godfather Part II
Ellen Burstyn,True,Alice Doesn't Live Here Anymore
Diahann Carroll,False,Claudine
Faye Dunaway,False,Chinatown
Valerie Perrine,False,Lenny
Gena Rowlands,False,A Woman under the Influence
Walter Matthau,False,The Sunshine Boys
Jack Nicholson,True,One Flew over the Cuckoo's Nest
Al Pacino,False,Dog Day Afternoon
Maximilian Schell,False,The Man in the Glass Booth
James Whitmore,False,"Give 'em Hell, Harry!"
Isabelle Adjani,False,The Story of Adele H.
Ann-Margret,False,Tommy
Louise Fletcher,True,One Flew over the Cuckoo's Nest
Glenda Jackson,False,Hedda
Carol Kane,False,Hester Street
Robert De Niro,False,Taxi Driver
Peter Finch,True,Network
Giancarlo Giannini,False,Seven Beauties
William Holden,False,Network
Sylvester Stallone,False,Rocky
Marie-Christine Barrault,False,"Cousin, Cousine"
Faye Dunaway,True,Network
Talia Shire,False,Rocky
Sissy Spacek,False,Carrie
Liv Ullmann,False,Face to Face
Woody Allen,False,Annie Hall
Richard Burton,False,Equus
Richard Dreyfuss,True,The Goodbye Girl
Marcello Mastroianni,False,A Special Day
John Travolta,False,Saturday Night Fever
Anne Bancroft,False,The Turning Point
Jane Fonda,False,Julia
Diane Keaton,True,Annie Hall
Shirley MacLaine,False,The Turning Point
Marsha Mason,False,The Goodbye Girl
Warren Beatty,False,Heaven Can Wait
Gary Busey,False,The Buddy Holly Story
Robert De Niro,False,The Deer Hunter
Laurence Olivier,False,The Boys from Brazil
Jon Voight,True,Coming Home
Ingrid Bergman,False,Autumn Sonata
Ellen Burstyn,False,"Same Time, Next Year"
Jill Clayburgh,False,An Unmarried Woman
Jane Fonda,True,Coming Home
Geraldine Page,False,Interiors
Dustin Hoffman,True,Kramer vs. Kramer
Jack Lemmon,False,The China Syndrome
Al Pacino,False,...And Justice for All
Roy Scheider,False,All That Jazz
Peter Sellers,False,Being There
Jill Clayburgh,False,Starting Over
Sally Field,True,Norma Rae
Jane Fonda,False,The China Syndrome
Marsha Mason,False,Chapter Two
Bette Midler,False,The Rose
Robert De Niro,True,Raging Bull
Robert Duvall,False,The Great Santini
John Hurt,False,The Elephant Man
Jack Lemmon,False,Tribute
Peter O'Toole,False,The Stunt Man
Ellen Burstyn,False,Resurrection
Goldie Hawn,False,Private Benjamin
Mary Tyler Moore,False,Ordinary People
Gena Rowlands,False,Gloria
Sissy Spacek,True,Coal Miner's Daughter
Warren Beatty,False,Reds
Henry Fonda,True,On Golden Pond
Burt Lancaster,False,Atlantic City
Dudley Moore,False,Arthur
Paul Newman,False,Absence of Malice
Katharine Hepburn,True,On Golden Pond
Diane Keaton,False,Reds
Marsha Mason,False,Only When I Laugh
Susan Sarandon,False,Atlantic City
Meryl Streep,False,The French Lieutenant's Woman
Dustin Hoffman,False,Tootsie
Ben Kingsley,True,Gandhi
Jack Lemmon,False,Missing
Paul Newman,False,The Verdict
Peter O'Toole,False,My Favorite Year
Julie Andrews,False,Victor/Victoria
Jessica Lange,False,Frances
Sissy Spacek,False,Missing
Meryl Streep,True,Sophie's Choice
Debra Winger,False,An Officer and a Gentleman
Michael Caine,False,Educating Rita
Tom Conti,False,"Reuben, Reuben"
Tom Courtenay,False,The Dresser
Robert Duvall,True,Tender Mercies
Albert Finney,False,The Dresser
Jane Alexander,False,Testament
Shirley MacLaine,True,Terms of Endearment
Meryl Streep,False,Silkwood
Julie Walters,False,Educating Rita
Debra Winger,False,Terms of Endearment
F. Murray Abraham,True,Amadeus
Jeff Bridges,False,Starman
Albert Finney,False,Under the Volcano
Tom Hulce,False,Amadeus
Sam Waterston,False,The Killing Fields
Judy Davis,False,A Passage to India
