nquest,ar,af,w,bollette,cn,cd,c,ncomp,acom5,pesofit,y,cly,nfigli,figli_etamedia,nfigli_maschi,singleparent,singlemom,madre_lavora,padre_lavora,padre_eta,madre_eta,macroarea,madre_laurea,padre_laurea,padre_servizi,padre_industria,madre_servizi,madre_industria
913589,0,4478.5054,4478.5054,,16700,500,17200,1,4,.64385337,20016.414,4,0,,0,1,0,,1,27,,nord,,1,1,0,,
913595,1500,6700.9302,8200.9307,2000,10200,400,10600,1,4,.84553874,19848.561,4,0,,0,1,1,1,,,34,nord,1,,,,1,0
913604,1235000,350000,1585000,4500,38600,-5000,33600,2,4,.49283236,118762.73,10,0,,0,0,,0,1,58,59,nord,0,0,0,0,,
913632,0,5000,-1000,,21520,5000,26520,1,4,.95425498,23018.326,5,0,,0,1,1,1,,,43,nord,0,,,,0,1
913640,0,5000,5000,,10300,0,10300,1,4,.8861267,16718.326,3,0,,0,1,0,,1,45,,nord,,0,0,1,,
913660,212000,86641.906,298641.91,,52400,2000,54400,4,4,.33441019,64138.805,10,2,31.5,2,0,,0,0,61,56,nord,0,0,,,,
913662,160000,67955.188,227955.19,2500,25200,500,25700,1,4,.2159588,28060.205,6,0,,0,1,1,1,,,60,nord,0,,,,1,0
913668,220000,24398.277,244398.28,,32929.602,0,32929.602,2,4,.20814317,42354.422,8,0,,0,0,,1,1,55,53,nord,0,0,0,1,1,0
913669,300000,51720,351720,5000,39600,1200,40800,3,4,.23578098,63185.324,10,1,18,1,0,,1,1,56,51,nord,1,0,1,0,1,0
913742,150000,100000,250000,,30100,0,30100,1,4,.30991614,24366.527,5,0,,0,1,1,1,,,55,nord,0,,,,1,0
913752,300000,7873.0957,307873.09,,53800,0,53800,4,4,.73953205,48428.855,9,2,8,0,0,,1,1,46,47,nord,0,0,1,0,1,0
913766,0,1000,1000,2000,15000,0,15000,3,4,.66748828,14003.665,2,1,14,1,0,,1,1,34,32,nord,0,1,1,0,1,0
913767,351000,2758.717,353758.72,,29500,10500,40000,3,4,.40273088,46010.113,9,1,21,0,0,,1,1,61,56,nord,0,0,0,1,1,0
913768,0,1000,1000,2000,20400,0,20400,3,4,.5650326,17003.666,3,1,3,0,0,,1,0,50,53,nord,0,1,,,1,0
913779,202000,30000,232000,8000,21600,0,21600,2,2,.88298512,42999.957,8,0,,0,1,0,,1,56,,nord,,0,0,1,,
913780,301000,7000,308000,,29900,0,29900,1,2,.81235069,27025.656,6,0,,0,1,0,,1,53,,nord,,0,0,1,,
913827,501000,7000,508000,3500,21600,700,22300,1,3,.23313211,28625.656,6,0,,0,1,0,,1,56,,nord,,0,1,0,,
913882,555000,16000,571000,5000,40800,18000,58800,4,1,1.2591647,96058.641,10,2,25,0,0,,1,1,60,54,nord,0,0,0,1,1,0
913889,503000,18500,521500,5000,30000,0,30000,4,1,1.4715726,49067.809,9,2,22.5,0,0,,1,1,54,50,nord,0,0,0,1,1,0
913892,280500,2000,282500,,21200,0,21200,1,1,1.6242889,17407.33,3,0,,0,1,0,,1,47,,nord,,1,1,0,,
913902,1200000,55000,1255000,,32400,0,32400,1,1,2.3805475,28897.566,6,0,,0,1,0,,1,37,,nord,,0,0,1,,
913909,2000,4500,6500,,19160,0,19160,1,1,.93729311,16416.494,3,0,,0,1,1,1,,,55,nord,0,,,,1,0
913926,1155000,47000,1202000,,61000,3000,64000,6,1,1.6642671,67172.266,10,4,14.75,1,0,,0,1,57,47,nord,0,0,0,1,,
